        0	-174865.81235   2052.54531      4.00257      0.00000
       10	-179248.36676   4382.55441      2.99373      0.61509
       20	-184623.85556   5375.48880      4.17124      7.66139
       30	-185760.35071   1136.49515     11.42647      1.75694
       40	-190150.17603   4389.82531      2.11388      7.87817
       50	-191097.37302    947.19699      2.71700      0.55135
       60	-193266.55402   2169.18100      2.62438      4.32057
       70	-175197.49452 -18069.05950    512.88767      1.52903
       80	-193743.28825  18545.79373      6.70909      0.36940
       90	-195889.12750   2145.83925      2.46147      0.58894
      100	-198495.83634   2606.70885      1.42702      2.64084
      110	-200664.41749   2168.58114      1.82683      4.26299
      120	-202598.00883   1933.59134      1.63335      4.12892
      130	-204029.45143   1431.44260      3.62909      2.39944
      140	-205012.65633    983.20490      3.09245      0.61208
      150	-205530.15053    517.49420      1.86195      0.47911
      160	-206608.07126   1077.92073      3.61754      2.14834
      170	-207587.69942    979.62816      2.49937      1.64407
      180	-208594.04818   1006.34876      1.98623      1.59237
      190	-209613.11338   1019.06520      2.04560      1.54229
      200	-210695.36720   1082.25383      1.69503      2.48964
      210	-208687.82714  -2007.54006     15.52071      1.69356
      220	-211767.64235   3079.81521      4.67547      1.72806
      230	-212714.20188    946.55953      1.14010      3.67344
      240	-213107.37235    393.17047      1.62663      1.06617
      250	-213874.69165    767.31930      2.06539      2.86844
      260	-214633.86931    759.17767      1.00811      1.00016
      270	-215190.18937    556.32006      1.06794      1.61452
      280	-215731.27313    541.08376      1.00430      1.56374
      290	-216191.05451    459.78138      0.95517      0.90874
      300	-216607.27106    416.21655      1.05304      0.88016
      310	-217023.19373    415.92267      1.06661      0.85248
      320	-217425.26656    402.07284      1.28111      1.37612
      330	-217848.18721    422.92064      1.01331      0.79970
      340	-218236.56982    388.38261      1.10914      1.29092
      350	-218625.55238    388.98256      2.31159      1.25032
      360	-219060.85095    435.29858      0.89235      1.07645
      370	-219447.29947    386.44852      1.02138      0.92675
      380	-219787.33440    340.03493      1.10543      0.53856
      390	-220119.31705    331.98264      0.84035      0.86938
      400	-220469.95995    350.64290      0.92552      1.40339
      410	-220792.52937    322.56942      0.92797      0.81555
      420	-221065.45257    272.92320      0.89786      0.78991
      430	-221401.16961    335.71704      0.81208      0.68006
      440	-221759.02827    357.85866      0.68394      1.09778
      450	-222059.32595    300.29768      0.84590      0.63796
      460	-222309.69131    250.36536      0.56133      0.61789
      470	-222591.11925    281.42793      0.83085      0.99743
      480	-222876.70645    285.58720      1.10021      0.57964
      490	-223098.01673    221.31028      0.56639      0.33685
      500	-223300.45984    202.44312      0.52644      0.32625
      510	-223510.64838    210.18854      0.52699      0.31599
      520	-224185.80467    675.15629      0.64491      0.51009
      530	-224460.70762    274.90295      0.83182      0.17786
      540	-224862.96186    402.25424      0.49117      0.28711
      550	-225128.95386    265.99200      0.71765      0.14831
      560	-225249.33205    120.37820      0.62039      0.14364
      570	-225549.79440    300.46235      0.76149      0.23188
      580	-225790.56336    240.76895      0.52185      0.13475
      590	-225925.01310    134.44974      0.28717      0.07831
      600	-226120.54808    195.53497      0.29307      0.21068
      610	-226328.19935    207.65128      0.69416      0.12243
      620	-226390.03757     61.83822      0.17739      0.04269
      630	-226478.36753     88.32996      0.22020      0.06891
      640	-226676.92101    198.55348      0.26435      0.30900
      650	-226771.40138     94.48037      0.76475      0.29929
      660	-226851.49479     80.09341      0.61446      0.21472
      670	-226904.43709     52.94230      0.33917      0.16229
      680	-227068.05336    163.61627      0.74654      0.15719
      690	-227219.46362    151.41026      0.70029      0.15225
      700	-227333.18698    113.72336      0.49142      0.08847
      710	-227375.16006     41.97308      0.26031      0.05142
      720	-227520.59097    145.43091      0.25843      0.13833
      730	-227599.07665     78.48568      0.36120      0.07146
      740	-227720.98399    121.90734      0.30927      0.06921
      750	-227765.39859     44.41461      0.16704      0.04022
      760	-227858.08104     92.68244      0.39788      0.18034
      770	-227935.90205     77.82101      0.27535      0.06288
      780	-227959.60137     23.69932      0.13261      0.03248
      790	-228032.37522     72.77385      0.61143      0.14565
      800	-228108.95790     76.58268      0.26999      0.05079
      810	-228144.48020     35.52230      0.19804      0.04919
      820	-228217.74412     73.26392      0.33387      0.07940
      830	-228299.85850     82.11438      0.29488      0.07690
      840	-228360.98258     61.12409      0.17533      0.04469
      850	-228380.15013     19.16755      0.18771      0.04329
      860	-228413.56530     33.41517      0.13838      0.04192
      870	-228437.78288     24.21758      0.16507      0.04061
      880	-228493.90665     56.12377      0.20211      0.06555
      890	-228555.87694     61.97029      0.22874      0.06349
      900	-228582.05204     26.17510      0.17330      0.02214
      910	-228638.37810     56.32606      0.29059      0.05956
      920	-228681.26279     42.88469      0.27908      0.05768
      930	-228696.75857     15.49578      0.14828      0.03352
      940	-228732.51851     35.75995      0.13505      0.03247
      950	-228774.78032     42.26181      0.25743      0.05241
      960	-228816.09713     41.31680      0.43901      0.08460
      970	-228867.33429     51.23717      0.19028      0.04917
      980	-228918.81216     51.47786      0.17954      0.04762
      990	-228946.98025     28.16809      0.26987      0.04612
     1000	-228958.71781     11.73756      0.13083      0.02680
